Genes	HepG2_MAX
ENSG00000229745	0
ENSG00000203950	0.087945
ENSG00000201567	0
ENSG00000063515	0
ENSG00000125975	0.11405
ENSG00000149313	86.0008
ENSG00000271876	3.6752
ENSG00000234601	0
ENSG00000278842	0.19044
ENSG00000185522	1.1565
ENSGR0000234958	0.21835
ENSG00000148730	47.3263
ENSG00000213509	0.4353
ENSG00000243871	1.7916
ENSG00000280097	0
ENSG00000066382	1.2852
ENSG00000232218	6.2666
ENSG00000255247	0.46654
ENSG00000281315	0
ENSG00000178163	0.49172
ENSG00000253310	0
ENSG00000144410	0.14915
ENSG00000107362	15.1684
ENSG00000227242	0.0244
ENSG00000203791	24.1787
ENSG00000237730	0
ENSG00000176826	17.358
ENSG00000100652	0.24932
ENSG00000230764	0
ENSG00000242706	0.63602
ENSG00000258942	0.15979
ENSG00000253793	0
ENSG00000265735	0.97832
ENSG00000186268	0
ENSG00000262580	5.0497
ENSG00000170961	0.0207
ENSG00000235347	0.22737
ENSG00000121864	87.5524
ENSG00000279588	0.10825
ENSG00000200376	8.4308
ENSG00000233410	0
ENSG00000277651	0.42932
ENSG00000207342	10.2799
ENSG00000151287	1.0081
ENSG00000240203	0.51806
ENSG00000222806	0
ENSG00000233893	0.94013
ENSG00000261898	0.75655
ENSG00000114019	24.6209
ENSG00000199885	0
ENSG00000268864	0.20577
ENSG00000231027	0
ENSG00000280124	0.26922
ENSG00000254056	0
ENSG00000100644	302.1203
ENSG00000196616	0.57349
ENSG00000259688	1.8281
ENSG00000047346	24.4188
ENSG00000264544	48.3006
ENSG00000171224	4.2073
ENSG00000167113	19.1146
ENSG00000232728	0
ENSG00000253820	0
ENSG00000226051	0.32074
ENSG00000225935	1.3135
ENSG00000127152	0.03063
ENSG00000215447	13.5997
ENSG00000234156	0
ENSG00000257185	0
ENSG00000279615	0
ENSG00000251437	0
ENSG00000248964	0.5951
ENSG00000137561	3.398
ENSG00000223432	0.5201
ENSG00000200403	8.4655
ENSG00000173960	30.8709
ENSG00000229180	2.9928
ENSG00000233920	0
ENSG00000267673	24.2938
ENSG00000199912	0
ENSG00000228015	0
ENSG00000277112	0.43593
ENSG00000237285	0.057182
ENSG00000266508	0
ENSG00000115839	78.8592
ENSG00000231537	0
ENSG00000259715	0.30889
ENSG00000280634	6.5105
ENSG00000275778	2.3578
ENSG00000252749	0
ENSG00000238503	0
ENSG00000263353	0.23034
ENSG00000216073	6.522
ENSG00000228315	13.055
ENSG00000112149	9.7417
ENSG00000100263	11.8307
ENSG00000171970	15.472
ENSG00000215957	0
ENSG00000178700	8.105
ENSG00000273841	234.1325
ENSG00000273275	23.1363
ENSG00000278424	0
ENSG00000266482	2.9736
ENSG00000269637	0
ENSG00000196235	94.7022
ENSG00000211637	0
ENSG00000229690	0
ENSG00000148795	8.0183
ENSG00000206661	0
ENSG00000185345	0.76475
ENSG00000260734	0
ENSG00000117448	169.6636
ENSG00000200913	28.0697
ENSG00000264099	3.2433
ENSG00000091732	33.6072
ENSG00000265317	3.7607
ENSG00000137872	0.59474
ENSG00000237312	0
ENSG00000120053	568.3516
ENSG00000239249	0
ENSG00000225370	0
ENSG00000216100	0
ENSG00000162004	1.0506
ENSG00000275805	0.033456
ENSG00000182968	0
ENSG00000249737	0.44361
ENSG00000226708	0
ENSG00000019995	20.5944
ENSG00000263863	0
ENSG00000160446	15.4933
ENSG00000279050	0.19038
ENSG00000198155	0.13475
ENSG00000256021	0.64168
ENSG00000272084	0.19225
ENSG00000224205	0.38723
ENSG00000185614	0.20661
ENSG00000273302	3.287
ENSG00000177992	0.010632
ENSG00000160014	350.0439
ENSG00000282572	0.57505
ENSG00000201659	4.4395
ENSG00000131368	48.9518
ENSG00000278934	0
ENSG00000124575	0.11705
ENSG00000271968	0
ENSG00000266992	0.45436
ENSG00000128591	0.13705
ENSG00000238058	12.0461
ENSG00000112541	0.86237
ENSG00000280189	0.13777
ENSG00000252184	1.1458
ENSG00000274614	0.13296
ENSG00000134321	0.75137
ENSG00000259150	0
ENSG00000167531	0
ENSG00000248546	0
ENSG00000265827	0
ENSG00000118434	0
ENSG00000251019	0
ENSG00000267255	0.45302
ENSG00000135248	0.082681
ENSG00000260289	0
ENSG00000281381	2.7482
ENSG00000137491	38.8438
ENSG00000132763	12.4603
ENSG00000261507	0
ENSG00000172724	0
ENSG00000225880	1.1794
ENSG00000270777	0.39989
ENSG00000277743	0
ENSG00000200468	0
ENSG00000233502	0
ENSG00000207434	0
ENSG00000223497	0
ENSG00000221560	0
ENSG00000188342	53.808
ENSG00000233985	0.086901
ENSG00000280216	0.77891
ENSG00000175894	0.88417
ENSG00000199977	5.004
ENSG00000124602	5.8231
ENSG00000231119	1.2303
ENSG00000226143	0
ENSG00000252211	2.6652
ENSG00000145248	0.14826
ENSG00000280699	0
ENSG00000241607	0.51815
ENSG00000170734	19.4331
ENSG00000252694	0
ENSG00000259660	0.43142
ENSG00000149516	0.72572
ENSG00000009780	10.7374
ENSG00000234248	0.53299
ENSG00000257277	6.2661
ENSG00000148377	0.20673
ENSG00000255340	0.25742
ENSG00000260316	0.14711
ENSG00000229272	1.596
ENSG00000279707	0.46928
ENSG00000213036	0.15667
ENSG00000270804	11.5299
ENSG00000260799	0.074204
ENSG00000184933	0
ENSG00000267765	0.57552
ENSG00000232794	0.10722
ENSG00000135299	2.0869
ENSG00000281891	0
ENSG00000211582	0
ENSG00000204815	1.5038
ENSG00000179028	0.037775
ENSG00000207944	2.6571
ENSG00000150995	11.7114
ENSG00000228107	2.0726
ENSG00000249319	10.032
ENSG00000263445	0
ENSG00000132382	37.469
ENSG00000237377	0
ENSG00000259807	0.066692
ENSG00000144199	15.0965
ENSG00000156858	18.1195
ENSG00000252721	0
ENSG00000273933	0
ENSG00000167748	0
ENSG00000111737	41.7957
ENSG00000147526	10.5505
ENSG00000226653	0
ENSG00000121060	234.6987
ENSG00000161021	32.9737
ENSG00000187013	0.13036
