REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
m02555c	NADPH[Cytosol]	5.344	4.5453e-08	104	7.8685	7.0341
m02554c	NADP+[Cytosol]	5.2635	7.0652e-08	109	7.7628	6.9156
m02943s	succinate[Extracellular]	4.8813	5.2687e-07	1	30.9626	0
m01587s	citrate[Extracellular]	4.7336	1.1029e-06	3	19.5691	15.8207
m02553c	NADH[Cytosol]	4.6033	2.0792e-06	46	8.7015	6.3948
m01840c	fructose[Cytosol]	4.511	3.2266e-06	9	13.0355	9.5725
m01084c	5beta-cholestan-7alpha,27-diol-3-one[Cytosol]	4.4884	3.5876e-06	1	28.8793	0
m01178c	7alpha,12alpha-dihydroxycholest-4-en-3-one[Cytosol]	4.4884	3.5876e-06	1	28.8793	0
m01182c	7alpha-hydroxycholest-4-en-3-one[Cytosol]	4.4884	3.5876e-06	1	28.8793	0
m02552c	NAD+[Cytosol]	4.4345	4.6146e-06	51	8.394	6.21
m00758c	3alpha,7alpha-dihydroxy-5beta-cholestanate[Cytosol]	4.4329	4.6481e-06	10	12.4946	6.5243
m02453c	mannose[Cytosol]	4.4077	5.2242e-06	7	13.9691	9.4951
m01587c	citrate[Cytosol]	4.1177	1.9134e-05	7	13.3853	11.8236
m00720r	3,3-diiodo-L-thyronine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m00736r	3,5-diiodo-L-thyronine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m00828r	3-monoiodo-L-thyronine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m02174c	iodide[Cytosol]	4.0787	2.2641e-05	1	26.707	0
m02174r	iodide[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m02839r	reverse triiodthyronine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m02998r	thyroxine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m03052c	triiodothyronine[Cytosol]	4.0787	2.2641e-05	1	26.707	0
m03052r	triiodothyronine[Endoplasmic reticulum]	4.0787	2.2641e-05	1	26.707	0
m00600c	20-oxo-LTB4[Cytosol]	4.0624	2.4286e-05	8	12.7249	7.5049
m00600r	20-oxo-LTB4[Endoplasmic reticulum]	4.0624	2.4286e-05	8	12.7249	7.5049
m00756c	3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[Cytosol]	4.0624	2.4286e-05	8	12.7249	7.5049
m02453s	mannose[Extracellular]	4.0289	2.8025e-05	4	15.7949	12.749
m02096r	hepoxilin A3[Endoplasmic reticulum]	3.9254	4.3291e-05	12	11.1168	7.0561
m02552r	NAD+[Endoplasmic reticulum]	3.8873	5.0677e-05	20	9.6828	6.1954
m02553r	NADH[Endoplasmic reticulum]	3.8873	5.0677e-05	20	9.6828	6.1954
m01650c	decanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
m02107c	heptanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
m02122c	hexanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
m02616c	nonanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
m02694c	pentanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
m03116c	undecanoyl-CoA[Cytosol]	3.8804	5.2135e-05	6	13.5247	7.2244
