"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"0610009B22Rik"	273.99978	293.0001	204.00019	248.923	232.00037	175	203	220	207.99951	99.00003	212.00019	233.866	238.99982	181	228
"0610010F05Rik"	334.81151194015	331.11749	246.76626	223.350800385974	285.84098163	218.97904	144.086758	192.85094	229.022748613083	173.49892871	238.003870021264	251.32275	373.8589	247.99954	175.359952385
"0610010K14Rik"	80.614739	137.67728	130.8012289	112.62352	145.84017	84.1049800471643	227.0364	116.03558	110.644876731	67.9622900754922	87.774720989949	95.13727	125.64383762	81.08534	92.891376267
"0610012G03Rik"	433.237	363.921	332.451	283.345	307.47	278.459	645.916	279.203	260.877	199.292	230.054	303.037	362.422	260.516	534.124
"0610030E20Rik"	478.488	481.586	401.502	510.832	473.428	353.194	381.368	328.438	411.282	251.062	435.03	350.522	427.712	374.362	282.584
"0610040J01Rik"	625.99983	533.9082	473.94119	569.7534	533.7567	397.9301	624.0004	403.8209	518.7507	352.9217	419.7741	499.6769	464.7846	397.9291	466.8842
"1110002E22Rik"	14	17	7	11	59.4135	8	18	8	12	5	13	6	8	1.184	14
"1110004F10Rik"	677.0002	787.5512	601.00008	518.99983	722.4072	491.9614	667.8788	486.00036	564.73526	464.45277	422.2349	469.51979	615.2071	518.9023	525.836
"1110008P14Rik"	179.4427	128.4175	160.1088	139.2451	141.5577	90.1308	236.4647	149.8944	118.0877	64.7438	118.3551	163.8927	118.0079	109.5894	183.6459
"1110012L19Rik"	226	287	186	175	228	136	338	162	176	105	164	143	187	175	246
"1110017D15Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110032A03Rik"	500.9983	562.5543	414.5325	323.3122	393.9367	350.2341	539.562	407.576	387.5694	317.7461	264.6003	422.6814	546.794	331.0821	458.1905
"1110032F04Rik"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"1110038F14Rik"	76.13479	83.10949	66.585145	50.94782505	75.4816	67.8051745922	166.5606	73.99342	82.66646	45.42278240191	27.6231	76.29403	97.0625	68.2124	107.05396
"1110051M20Rik"	68.91087	83.7152	68.03011	38.58271	64.95574	41.496800429221	89.18745	27.4143	54.30749	38.39378	34.86037	43.42264	48.27295	58.13355	80.40781
"1110057P08Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110059E24Rik"	401.63937	419.53597	285.76025	251.4302	246.30349	308.81069	324.46029	271.336	210.503	234.12404	149.782	229.64242	365.616123	209.22022	375.05671
"1110059G10Rik"	212.3041	234.845	196.31	191.9722	157.0903	146.1149	269.479	147.1119	148.2939	136.8544	92.4936	135.7712	188.5933	117.1071	226.484
"1110065P20Rik"	157.66510589979	157.3553	131.585144	133.63445	113.345272011286	85.67933	314.71460077	153.1767915	124.51443	84.28911	85.26060442661	127.4247801769	195.0521411252	131.177040046731	234.010218
"1190005I06Rik"	95.00005	96.00003	137.999	104	125	47	163.1837	78.9999724	122.9996	54.77049	55.136	98	118.6501	62	154.00028
"1190007I07Rik"	126.86887	152.3385	109.36193	104.74883	135.75958	85.80424	216.8683	124.57968	104.00005	56.99997	91.49771	112.88815	164.00012	87.7859	175.00022
"1300017J02Rik"	10644.81278	10957.19171	8420.9649	7065.9	7786.78472	7463.20813	9285.19235	7741.23509	6941.66427	5494.90267	6180.11997	7682.84014	8869.353	6656.54828	7971.8192
"1500009C09Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1500009L16Rik"	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
"1500011B03Rik"	4.17395	17.24032	7	9.999996	10	6	12.3941	7.000001	13.2512	3.999997	9.422606	8	8.3816958	7.30557	5
"1520401A03Rik"	0.419431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1600002K03Rik"	42	53	36	45	44	30	80	42	41	21	30	40	40	28	67
"1600012H06Rik"	515.4908	530.8931	398.0669	483.0853	466.5315	385.8275	404.5439	515.233	411.4148	279.43218	317.8164	471.244	532.1321	322.3077	398.47484
"1600014C10Rik"	3482.0025	3237.6247	3245.9981	2553.9984	2566.2509	2678.0017	2982.99486	2941.6477	2637.26952	1489.00069	1690.9992	3330.2701	3625.8533	1778.73948	2520.99658
"1600014C23Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700001C02Rik"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1700001C19Rik"	195.9366	189.0444	169.749	160.6214	138.9518	123.30672	214.66400169662	131.81964	158.5446	109.64542	113.9522	128.18694	175.2132	127.97012	133.84684
"1700001F09Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700001J03Rik"	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0
"1700001K19Rik"	3	0	1	0	1.999996	0	1	2	1	0	0	1	1	0	1
"1700001L19Rik"	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
"1700001O22Rik"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"1700001P01Rik"	0	0	0	1	1	0	0	0	1	1	0	0	0	2	1
"1700003E16Rik"	25	24	29	29	28	18	19	26	29	12	19	33	25.00005	22	20.99998
"1700003F12Rik"	0	1	1	3	4	0	0	3	4	0	0	2	1	0	0
"1700003H04Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700006A11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700007K13Rik"	0	0	0	0	0	0	2.000004	0	0	0	0	0	0	1	0
"1700008O03Rik"	0.694638	0	1.67489	1	0	2	0	0	0	0	2	0	0	2	1.25252
"1700008P02Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700009N14Rik"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"1700010B08Rik"	2	0	0	0	0	0	1	1	1	0	0	0	1	0	0
"1700010I14Rik"	5	1.13119e-06	9	5	8	3.02127	11	6	6	6	4	3	4.23747e-07	3	1.00767
"1700011L22Rik"	2	1	0	0	0	0	0	1	1	0	0	0	0	0	1
"1700011M02Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700012A03Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700012B07Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
