""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610009B22Rik"	212.62584072533	-0.308518946615837	0.159463099605127	-1.93473566850144	0.0530227409921631	0.628636930824561
"0610010F05Rik"	239.055010810135	0.124872826580711	0.21188447504701	0.589343917495633	0.555630589648635	0.998393709878263
"0610010K14Rik"	111.304184560309	0.0215611565245435	0.31602549300105	0.0682260039207404	0.945605727060793	0.998393709878263
"0610012G03Rik"	334.160789883981	-0.0970962792311151	0.248999067273341	-0.389946357206739	0.696576213794387	0.998393709878263
"0610030E20Rik"	390.49832956893	-0.10446389563087	0.177184767316339	-0.589576052236838	0.555474910820168	0.998393709878263
"0610040J01Rik"	480.285326633994	-0.19167966426658	0.137317864430323	-1.3958829396436	0.162749748903711	0.886074253952761
"1110002E22Rik"	12.7047994845062	1.12462614090672	0.752854488451853	1.49381608020876	0.135223697425013	0.852455033008982
"1110004F10Rik"	560.232456404794	0.123453448378565	0.124146529089076	0.99441723650595	0.32001978004028	0.989492219231254
"1110008P14Rik"	138.382707814927	-0.387347552097909	0.219405487676001	-1.76544149465354	0.0774895947729574	0.7228290583635
"1110012L19Rik"	191.817488177767	0.0544142671095462	0.232237874288014	0.234304018138158	0.814748966716153	0.998393709878263
"1110017D15Rik"	0					
"1110025L11Rik"	0					
"1110032A03Rik"	408.358317918615	-0.0506137282450656	0.194296581582874	-0.260497265740505	0.794480224154837	0.998393709878263
"1110032F04Rik"	0.0602044465860584	0.50015743145068	4.54296773429414	0.110094867651177	0.912334138436631	
"1110038F14Rik"	76.5530254029459	0.0363777581569731	0.400418980799619	0.0908492351794321	0.927612387758381	0.998393709878263
"1110051M20Rik"	54.790362224605	0.483120537654504	0.306961091113319	1.57388200537818	0.11551473076771	0.822514194301932
"1110057P08Rik"	0					
"1110059E24Rik"	281.226516598148	-0.0925291359392181	0.25554771602441	-0.362081639306766	0.717291023800823	0.998393709878263
"1110059G10Rik"	170.701782834031	-0.0986793436102972	0.272372781858959	-0.362295171113668	0.717131466322127	0.998393709878263
"1110065P20Rik"	146.959894832123	-0.202620450286475	0.343738328815571	-0.589461323631408	0.55555184974259	0.998393709878263
"1190005I06Rik"	98.9462072687727	0.218531752608052	0.315728531492051	0.692150790349317	0.488842638372152	0.998393709878263
"1190007I07Rik"	120.9465875101	-0.07214495467306	0.277329918262245	-0.260141261083989	0.79475481149621	0.998393709878263
"1300017J02Rik"	7811.89769750405	-0.133586060952309	0.103722684796039	-1.28791557232628	0.197775354116017	0.916759143335866
"1500009C09Rik"	0					
"1500009L16Rik"	0.222824364405519	-0.461593889488742	4.54296773429414	-0.101606244306831	0.919069222864383	
"1500011B03Rik"	8.27449958587467	-0.0196142083022034	0.561886727487503	-0.0349077622635954	0.972153290995726	0.998393709878263
"1520401A03Rik"	0					
"1600002K03Rik"	42.0980020164587	-0.294260751370516	0.331907622603908	-0.886574249370831	0.37530816277814	0.998393709878263
"1600012H06Rik"	422.231528317298	-0.345504959934964	0.119932260101358	-2.88083422794642	0.00396624184661871	0.193094046579238
"1600014C10Rik"	2654.0598149511	-0.18945929688411	0.179872960676477	-1.05329503762867	0.29220579254669	0.984636290610748
"1600014C23Rik"	0					
"1700001C02Rik"	0.0738766051950598	-1.18291801442706	4.54296773429414	-0.260384419087418	0.794567260324492	
"1700001C19Rik"	148.904923354643	-0.0231346147483254	0.173343853635498	-0.133460830961865	0.893828939466051	0.998393709878263
