""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610009B22Rik"	212.62584072533	-0.328166129603727	0.161330894542038	-2.0341183288872	0.0419396663828995	0.4804677782434
"0610010F05Rik"	239.055010810135	0.161868475201437	0.212812194667943	0.760616540109488	0.44688613757549	0.981743048536826
"0610010K14Rik"	111.304184560309	-0.206145241197334	0.318943732930199	-0.646337331363864	0.518060916280909	0.986343170791891
"0610012G03Rik"	334.160789883981	-0.0295458704174567	0.24963045411288	-0.118358437164467	0.905783656573707	0.996773256842868
"0610030E20Rik"	390.49832956893	-0.0814589064532248	0.177956109635678	-0.45774717496349	0.647134091353146	0.996773256842868
"0610040J01Rik"	480.285326633994	-0.165667082752752	0.138151941359124	-1.19916579617295	0.230463484120354	0.875752200783738
"1110002E22Rik"	12.7047994845062	-0.161985529884949	0.785048112381546	-0.206338347077282	0.836526626321888	0.996773256842868
"1110004F10Rik"	560.232456404794	0.238557257513353	0.124641201100767	1.9139518506444	0.0556263082879388	0.540252951127079
"1110008P14Rik"	138.382707814927	-0.588285780924212	0.223095388819564	-2.63692487790507	0.00836613566267719	0.208525931392229
"1110012L19Rik"	191.817488177767	0.123006564003482	0.233308739382759	0.527226559660422	0.598036266775974	0.996773256842868
"1110017D15Rik"	0					
"1110025L11Rik"	0					
"1110032A03Rik"	408.358317918615	0.0492753811586121	0.194798896889316	0.25295513447702	0.800302883360148	0.996773256842868
"1110032F04Rik"	0.0602044465860584	0	4.54296773429414	0	1	
"1110038F14Rik"	76.5530254029459	0.011814549138882	0.402563790945296	0.0293482658018973	0.976586832919497	0.999813940704609
"1110051M20Rik"	54.790362224605	0.626146349460707	0.30868219233907	2.02844985878849	0.0425143558479595	0.482059609200503
"1110057P08Rik"	0					
"1110059E24Rik"	281.226516598148	0.250375306382034	0.255486153619537	0.979995599898094	0.327088290633887	0.948389604098647
"1110059G10Rik"	170.701782834031	0.0367240307746209	0.273113112767254	0.134464546218683	0.893035244466069	0.996773256842868
"1110065P20Rik"	146.959894832123	-0.244419947487765	0.345259319601144	-0.707931498475197	0.478987797994129	0.981967746887311
"1190005I06Rik"	98.9462072687727	-0.491435335661859	0.322370531222627	-1.52444249106155	0.127398212495762	0.752689787744294
"1190007I07Rik"	120.9465875101	-0.265460721301673	0.280409379967428	-0.946689876538756	0.343796830518023	0.954052095713896
"1300017J02Rik"	7811.89769750405	0.0470295135941351	0.103755082699521	0.453274310718201	0.650351228703365	0.996773256842868
"1500009C09Rik"	0					
"1500009L16Rik"	0.222824364405519	-0.172178286164372	4.54296773429414	-0.0378999579646197	0.969767446565784	
"1500011B03Rik"	8.27449958587467	0.00175445241269112	0.571811875746839	0.00306823360462677	0.997551907619013	0.999813940704609
"1520401A03Rik"	0					
"1600002K03Rik"	42.0980020164587	-0.357086083207067	0.337461773217728	-1.05815269030984	0.289985835926302	0.926865650986792
"1600012H06Rik"	422.231528317298	-0.342646840859397	0.121065740400583	-2.83025437027556	0.00465110094294017	0.150155956015078
"1600014C10Rik"	2654.0598149511	-0.341701585423087	0.180060163153434	-1.8977078518579	0.0577345776648467	0.551203307144959
"1600014C23Rik"	0					
"1700001C02Rik"	0.0738766051950598	-0.893502411102693	4.54296773429414	-0.196678132745206	0.844079423388966	
"1700001C19Rik"	148.904923354643	0.00722688149206525	0.175281456328371	0.0412301543098003	0.967112414442133	0.999813940704609
"1700001F09Rik"	0					
"1700001J03Rik"	0.319731835092445	2.64935658484764	4.48122189927929	0.591212987081433	0.554377722070794	
"1700001K19Rik"	0.79872176198547	-2.40126963028738	1.78631987757548	-1.34425511378542	0.178865905003499	
