"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"0610009B22Rik"	24.648014	25.573698	24.271705	33.4586	26.757209	22.7192	17.2421	28.2461	26.733671	16.792935	30.570061	28.5991	23.696947	24.6278	23.6851
"0610010F05Rik"	5.723582031971	6.37336	6.956465	8.19268200837584	6.8786201225	5.560972	3.31613919	5.159294	5.8043907434126	4.8459612891	6.058162000496	7.976205	8.351769	7.69299	2.88079147013
"0610010K14Rik"	8.5108198	12.529212	16.48758888	16.091688	19.014421	12.5612720064808	21.23285	16.519007	15.4007153994	12.7468860136102	14.138070235516	11.775332	14.073366335	11.397454	10.0971890556
"0610012G03Rik"	19.5509	15.9777	19.9068	19.0728	17.7888	18.1039	27.4742	17.952	16.8612	16.9998	16.6458	18.5583	18.0253	17.7516	27.7868
"0610030E20Rik"	6.1764	6.04792	6.87676	9.83554	7.83468	6.5682	4.63998	6.04042	7.6035	6.12572	9.0036	6.14012	6.08472	7.29654	4.205
"0610040J01Rik"	22.698452	18.42759	23.804365	29.18076	23.87156	20.67242	18.643635	20.06156	25.78684	23.90049	24.39032	23.55329	17.83318	21.27178	18.23118
"1110002E22Rik"	0.0836479	0.0988195	0.0554953	0.0980337	0.455108	0.068863	0.101369	0.0681031	0.102688	0.056469	0.124539	0.0486494	0.0526797	0.0106817	0.0964294
"1110004F10Rik"	32.2431947	35.36367	37.577989	35.789436	42.18022	33.205546	28.8917	31.671028	36.339489	42.240934	33.28782	29.153362	31.209196	36.90383	28.15046
"1110008P14Rik"	16.599023	12.575774	20.20717	21.463079	18.038625	11.887301	21.880758	21.838613	16.395223	11.952924	19.058139	21.784995	13.661555	15.747857	19.4467
"1110012L19Rik"	14.1112	17.4342	15.4099	16.2985	18.2512	12.2338	19.892	14.4118	15.739	12.3924	16.4184	12.1168	12.8683	16.4988	17.707
"1110017D15Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
