"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"0610009B22Rik"	266.00043	489.9998	306.99973	142.00014	272.9995	237.2008	257.65	282.887	260.0004	219.99975	227	243	283.9996	266.0002
"0610010F05Rik"	309.21351	511.9649	323.76238	228.99980484	254.80080089629	263.976852021571	286.00050267475	298.942882513	193.99995	202.0721736443	226.5625	218.43363	327	351.0002
"0610010K14Rik"	129.52112	220.45426001243	169.37272100029	195.219944	123.31055684	153.295062711538	138.541990965227	180.499570015944	163.3619696553	179.8717557	118.56748	122.028690693565	150.42338854	155.18755
"0610012G03Rik"	603.506	1126.42	615.744	789	556	554.993	485.997	536.997	869.907	484.183	466.999	527.998	547	592.762
"0610030E20Rik"	291.51	506.728	316.416	160.654	226.408	248.814	240.338	328.15	266.318	237.898	209.07	246.76	272.524	218.598
"0610040J01Rik"	135.99982	249.99953	181	210.00028	153.9998	123	134.00046	119	178	114.00044	130	119	135	145.00022
"1110002E22Rik"	2256.21	3212.76	2440.38	1915.17	3046.67	2100.25	1790.41	1954.05	1304.67	1688.04	2212.35	2179.97	1801.44	2223.15
"1110004F10Rik"	693.48103	1142.50596	717.3949	626.96171	633.73282	639.45372	554.99991	701.03156	631.999850088011	581.99987	572.99996	598.87159	579.00014	654.00018
"1110008P14Rik"	240.3664	337.9839	217.2314	319.9621	186.9335	175.0758	169.12846	239.2841	228.6981	175.3685	172.22322	192.10668	171.8479	213.2305
"1110012L19Rik"	204	447	307	175	238	193	238	224	302	166	173.944	166	247	261
"1110017D15Rik"	0	0	0	0	0	0	0	1	0	0	1	0	0	0
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110032A03Rik"	155.9957	299.3862	223.9475	192.9187	193.1849	148.8535	146.6501	235.0614	244.9547	189.4362	149.668	157.2868	177.6052	216.4763
"1110032F04Rik"	0	0	0	1	0	1	0	0	0	0	0	1	0	0
"1110038F14Rik"	185.1841	332.5799	183.9987	301.7752	120.95842	169.6318	126.91403	157.3865	216.8892	169.1161	119.483	123.08127	141.31862	162.3552
"1110051M20Rik"	485.2148	639.0479	396.8158	585.0707	349.2749	416.2121	363.8338	357.3621	332.5586	436.20958966	335.5631	369.7287	383.7328	430.4388
"1110057P08Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110059E24Rik"	114.07792	143.671	96.5541	62	93	76.14071	64.1134	130.104	108.273	93.9583	72.1934	66.8255	80.45497	91.30625
"1110059G10Rik"	107.8756	157.6785	139.009	65.4495	97.985	115.7201	91.7301	108.0237	136.028	116.323	92.9095	100.2691	90.6913	111.8734
"1110065P20Rik"	129.78901	220.563111	116.30871	208.6673	126.60834020663	81.40097	99.1228	116.320387	212.86708	88.86699	104.81801	104.92600163001	95.6049235931	130.02874
"1190005I06Rik"	1.34075	21	9	14	9	3.30301	3	21	19	4	5	3.73139	9	8
"1190007I07Rik"	212.58421	295.0001	220.5947	206.99982	165.000170051542	162	158.99975	210.8602	272.64789	156.9999	169.4141	162.5287638195	164.7024	199.5904
"1300017J02Rik"	32.211386	43.6866	50	53.7237	27	31.99996	28.7524	19.999957	47.1263	30	26.16074	20.6514309	22.01608	38.178500215908
"1500009C09Rik"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1500009L16Rik"	4	8.94133	8	11	6	11	7	8.000003	11	3.000001	4	4	15	8
"1500011B03Rik"	16	18	17.3022	19	5.33369	17.00005	14	25.80681	11.58571	8	15.4919	19	16.999959	5.23971
"1520401A03Rik"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1600002K03Rik"	100	169	101	295	72	99	96	112	151	91	80	112	100	86
"1600012H06Rik"	175.1337	301.3477	214.9272	140.72332	168.0666	179.1467	134.2736	216.0778	182.8308	121.0897	130.94	140.1778	158.1354	179.5507
"1600014C10Rik"	399.00032	781.99963	486.00044	465.99979	451.99968	401.99991	368.99953	459.00042	444.99925	316.00008	381	350.00051	389.9998	453.99977
"1600014C23Rik"	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0
