""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610009B22Rik"	260.886143285968	0.199056278125097	0.195677967598106	1.01726464439742	0.309027550982503	0.62989373340828
"0610010F05Rik"	277.031579412858	0.293213041654765	0.177441628802715	1.6524478705094	0.0984432837046063	0.395075256857956
"0610010K14Rik"	154.481976573925	-0.127451649029199	0.179004286502904	-0.712003335334271	0.47646271065325	0.746330219657106
"0610012G03Rik"	606.612596454176	-0.238741547356818	0.151363150285562	-1.5772765491892	0.114731905910115	0.421902586275045
"0610030E20Rik"	260.355997515344	0.145509658761618	0.166324089409912	0.87485618756646	0.38165216041102	0.684297423674694
"0610040J01Rik"	148.43157273557	-0.193460547169859	0.171093904836062	-1.13072728894246	0.258169891857728	0.584135584947897
"1110002E22Rik"	2125.00129266445	0.102169633925306	0.237145434417488	0.430831123425463	0.666591167494421	0.856920059898056
"1110004F10Rik"	649.412742400099	0.0747020008176384	0.0805060183587319	0.927905793139203	0.353456439113715	0.663362148829662
"1110008P14Rik"	211.865248889695	-0.180068897693378	0.176663673582997	-1.01927518001476	0.308072343774805	0.629007655587767
"1110012L19Rik"	230.546030970142	0.0405654651279781	0.186202603400318	0.217856594844521	0.827540847113802	0.935259868994274
"1110017D15Rik"	0.149289587953773	0.643370074798389	4.07837832392192	0.157751445231226	0.874652660551364	
"1110025L11Rik"	0					
"1110032A03Rik"	190.478719015388	-0.150321567664676	0.171174028481949	-0.878179762419557	0.379846172742193	0.682653357395248
"1110032F04Rik"	0.225505913620588	-0.820315922684882	4.08043888732234	-0.201036198638718	0.84067026941974	
"1110038F14Rik"	172.790846348224	-0.288987713586796	0.245653352165603	-1.17640451896614	0.239433266806067	0.566567935297548
"1110051M20Rik"	413.387917350907	-0.0382759123026939	0.201014471558938	-0.190413715021862	0.848984951249152	0.944337648255744
"1110057P08Rik"	0					
"1110059E24Rik"	89.7993337489412	-0.0584543654237265	0.219271594334362	-0.266584304278787	0.789789241795525	0.9171665898275
"1110059G10Rik"	107.761067634647	0.086975174232676	0.216474503543113	0.40178022265497	0.687845778514548	0.868599299132952
"1110065P20Rik"	127.637758615317	-0.385927428827621	0.235319117628631	-1.64001732080549	0.101001565619536	0.399687314478448
"1190005I06Rik"	8.587437887216	-0.777077022579954	0.705784008629823	-1.10101250960409	0.270891212704299	0.595847695742789
"1190007I07Rik"	192.929159014897	-0.115601685908459	0.173740043178045	-0.665371573494966	0.505812862026135	0.765039363621668
"1300017J02Rik"	33.1756001167033	-0.247097838798227	0.340114793922045	-0.726513057396916	0.467524305769599	0.74168681422188
"1500009C09Rik"	0.0621463631636934	0	4.08043888732234	0	1	
"1500009L16Rik"	7.63484387979364	-0.754753821675176	0.547492696228655	-1.37856418336576	0.168029165966822	0.488984278767935
"1500011B03Rik"	14.6523494037613	-0.133878439802642	0.498526077886683	-0.268548518806017	0.788277133287827	0.916365453825908
"1520401A03Rik"	0.0847651071659492	0.643378081772579	4.07837832392371	0.157753408505173	0.874651113456031	
"1600002K03Rik"	116.532239639843	-0.667592635442953	0.338250057669057	-1.97366599149592	0.0484197346087998	0.304403925412773
"1600012H06Rik"	168.538075188505	0.0154058729025479	0.147443831973689	0.104486384383289	0.916783372822909	0.972824142726567
"1600014C10Rik"	426.283715203619	0.008565182500243	0.0952329912751367	0.0899392362411196	0.928335501469824	0.975082410078688
"1600014C23Rik"	0					
"1700001C02Rik"	0					
"1700001C19Rik"	1.47610311244802	-1.11352622185751	1.42122676488594	-0.783496518197694	0.433335597514591	
"1700001F09Rik"	0					
"1700001J03Rik"	4.7446895273192	-1.00955017654448	0.898187569128166	-1.12398591479552	0.261019001359707	0.58734246717662
"1700001K19Rik"	7.13312105432199	-0.53488512661201	0.60719551336964	-0.880910867808719	0.378366064786691	0.681428054240225
"1700001L19Rik"	0.706740185128611	-0.175433105664767	1.92690884129621	-0.091043801297188	0.927457787152752	
"1700001O22Rik"	26.7108508707492	-1.66923585881775	0.573632483476407	-2.90993956392012	0.00361498651785327	0.102863431398183
"1700001P01Rik"	0.208677913274919	-0.820314725725238	4.08043888731508	-0.201035905298169	0.840670498789442	
"1700003E16Rik"	4.16384057098968	-0.895771512812853	0.769174546200857	-1.16458808632877	0.244185768548985	0.571791982153233
"1700003F12Rik"	0.141182177762209	-0.82030791569186	4.08043888732234	-0.201034236351512	0.840671803777357	
"1700003H04Rik"	0					
"1700006A11Rik"	0					
"1700007K13Rik"	0.422274992286004	0.485225757755365	3.5454332223305	0.136859370160811	0.891141954484197	
"1700008O03Rik"	0.257362065761031	-0.212664883515925	4.06563924554234	-0.0523078587823787	0.958283391488591	
"1700008P02Rik"	0					
"1700009N14Rik"	0.0704944269749121	0	4.08043888732234	0	1	
"1700010B08Rik"	0.45696076652924	-0.823625063432857	2.53918839227936	-0.324365480693424	0.74566135055947	
"1700010I14Rik"	2.54778777242138	-0.712807053178187	0.98420159470114	-0.724249032937847	0.468912860827226	
"1700011L22Rik"	0.223978889862954	-0.381119916082201	4.06916910823818	-0.0936603778178228	0.925378945788453	
"1700011M02Rik"	0					
"1700012A03Rik"	0					
"1700012B07Rik"	0					
"1700012B09Rik"	0					
"1700012P22Rik"	0					
"1700013F07Rik"	0.081557172772024	0	4.08043888732234	0	1	
"1700013G24Rik"	0.228174188040095	-0.820316040347944	4.08043888731217	-0.201036227475103	0.84067024687191	
"1700013H16Rik"	0.960538396338075	0.791594415921318	1.66216929166236	0.476241752204212	0.633902157278949	
"1700014D04Rik"	0.637017114070746	-2.12181656021695	2.32195252131442	-0.91380703986825	0.360818246646568	
"1700015F17Rik"	0.136680808005495	0.643370074798389	4.07837832392192	0.157751445231226	0.874652660551364	
"1700015G11Rik"	0					
"1700016C15Rik"	3.02240257549176	-0.619251418733344	1.13519320736329	-0.545503104420152	0.585407545989165	0.812735993742677
"1700016D06Rik"	1.41056825573871	0.137625105967875	1.36529118926801	0.100802749662262	0.91970704404676	
"1700016H13Rik"	0.143469538746705	0	4.08043888731371	0	1	
"1700016K19Rik"	0.0717347693733526	0	4.08043888732234	0	1	
"1700017B05Rik"	39.6382853304415	-0.156278255561383	0.286580576015059	-0.545320474033699	0.585533125109483	0.812735993742677
"1700017N19Rik"	0					
"1700018B08Rik"	0					
"1700018F24Rik"	0					
"1700018G05Rik"	0.0706877507872968	-0.820299908698837	4.08043888732234	-0.201032274064306	0.840673338135579	
"1700019A02Rik"	0.338813839742531	0.661468461051057	3.71161801041858	0.178215662062826	0.858553610070389	
