"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"0610009B22Rik"	28.349301	30.88758	31.97044	16.040812	31.52114	28.03685	33.4511	32.809	27.96113	31.87112	32.1919	32.6837	35.42607	27.69316
"0610010F05Rik"	6.470817	8.384292	6.964464	4.1122069035	6.4067060168078	7.75942475041416	9.537653056065	8.06553075	3.859946	4.789616920963	6.383962	4.962143	8.749953	8.175544
"0610010K14Rik"	15.755013	15.1881730008368	18.526879135691	25.5862072	16.27728158	19.4193290895622	19.313180132639	25.1500320019572	19.9412454111	27.8711825	18.584845	18.7693500987359	20.124943776	18.336045
"0610012G03Rik"	32.2699	35.8824	32.1967	44.8489	32.3417	33.0527	31.5988	31.1895	47.1295	35.2694	33.166	35.5642	34.3793	31.1185
"0610030E20Rik"	4.45854	4.61722	4.7325	2.6121	3.76708	4.23856	4.46972	5.4517	4.12708	4.9568	4.24708	4.75422	4.89934	3.28252
"0610040J01Rik"	5.232431	5.689695	6.55104	8.450422	6.62384	5.07043	6.221308	4.78413	6.67514	6.399576	6.39058	5.54815	5.87304	5.520105
"1110002E22Rik"	15.9727	13.5502	16.8949	14.4134	23.4639	16.5606	15.4125	15.0265	9.35848	16.2801	20.8025	19.4409	14.9904	15.4523
"1110004F10Rik"	39.68887	38.101853	41.486603	35.603118	37.863156	40.504528	37.295339	41.795531	33.3911670080703	42.962432	40.511599	41.917967	39.451713	34.739047
"1110008P14Rik"	30.420205	24.896494	27.210554	40.97166	26.238514	24.952725	26.548325	32.193245	28.268988	30.511685	29.690113	31.585226	25.103247	26.437409
"1110012L19Rik"	15.0924	19.7016	22.2107	13.7634	19.1548	15.9034	21.4105	18.001	22.6381	16.7305	17.0922	15.4704	21.4792	18.958
"1110017D15Rik"	0	0	0	0	0	0	0	0.140059	0	0	0.171258	0	0	0
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110032A03Rik"	15.75629	16.79366	20.97841	18.3897	21.48687	16.99141	17.69583	24.21386	24.97636	24.52243	19.85833	18.90103	21.7601	20.43972
